"facenum","ITI","ISI","block","emotion","reward"
8,1100,300,3,"scram","IEV"
1,1600,300,3,"scram","IEV"
16,1100,300,3,"scram","IEV"
7,1500,300,3,"scram","IEV"
21,1600,300,3,"scram","IEV"
11,1700,300,3,"scram","IEV"
4,1900,300,3,"scram","IEV"
17,2000,300,3,"scram","IEV"
2,1400,300,3,"scram","IEV"
19,1100,300,3,"scram","IEV"
13,2000,300,3,"scram","IEV"
15,1400,300,3,"scram","IEV"
20,1500,300,3,"scram","IEV"
10,1900,300,3,"scram","IEV"
12,1100,300,4,"scram","DEV"
6,1600,300,4,"scram","DEV"
7,2000,300,4,"scram","DEV"
1,1700,300,4,"scram","DEV"
2,1100,300,4,"scram","DEV"
17,1900,300,4,"scram","DEV"
13,1900,300,4,"scram","DEV"
10,1200,300,4,"scram","DEV"
5,1900,300,4,"scram","DEV"
14,1900,300,4,"scram","DEV"
4,1900,300,4,"scram","DEV"
9,1800,300,4,"scram","DEV"
15,1100,300,4,"scram","DEV"
3,1300,300,4,"scram","DEV"
19,1500,300,4,"scram","DEV"
20,1000,300,4,"scram","DEV"
11,1000,300,4,"scram","DEV"
18,1000,300,4,"scram","DEV"
16,1400,300,4,"scram","DEV"
8,1900,300,4,"scram","DEV"
21,1000,300,4,"scram","DEV"
12,2000,300,4,"scram","DEV"
17,1900,300,4,"scram","DEV"
13,1400,300,4,"scram","DEV"
9,1000,300,4,"scram","DEV"
21,1800,300,4,"scram","DEV"
1,1900,300,4,"scram","DEV"
3,1300,300,4,"scram","DEV"
5,1400,300,4,"scram","DEV"
4,2000,300,4,"scram","DEV"
7,1600,300,4,"scram","DEV"
18,1700,300,4,"scram","DEV"
2,1500,300,4,"scram","DEV"
20,1200,300,4,"scram","DEV"
19,1100,300,4,"scram","DEV"
10,1200,300,4,"scram","DEV"
16,1100,300,4,"scram","DEV"
11,1200,300,4,"scram","DEV"
15,1700,300,4,"scram","DEV"
14,1400,300,4,"scram","DEV"
6,1600,300,4,"scram","DEV"
8,1800,300,4,"scram","DEV"
1,1400,300,5,"happy","IEV"
5,1700,300,5,"happy","IEV"
16,1700,300,5,"happy","IEV"
14,1800,300,5,"happy","IEV"
13,1300,300,5,"happy","IEV"
2,1100,300,5,"happy","IEV"
6,1900,300,5,"happy","IEV"
12,1300,300,5,"happy","IEV"
7,1700,300,5,"happy","IEV"
15,1200,300,5,"happy","IEV"
11,1400,300,5,"happy","IEV"
4,1100,300,5,"happy","IEV"
20,1100,300,5,"happy","IEV"
19,1700,300,5,"happy","IEV"
9,1800,300,5,"happy","IEV"
3,1900,300,5,"happy","IEV"
18,1400,300,5,"happy","IEV"
8,1100,300,5,"happy","IEV"
21,1900,300,5,"happy","IEV"
10,1000,300,5,"happy","IEV"
17,1300,300,5,"happy","IEV"
19,1400,300,5,"happy","IEV"
10,1700,300,5,"happy","IEV"
17,1500,300,5,"happy","IEV"
16,1400,300,5,"happy","IEV"
1,1000,300,5,"happy","IEV"
14,1100,300,5,"happy","IEV"
21,1200,300,5,"happy","IEV"
9,1500,300,5,"happy","IEV"
18,1700,300,5,"happy","IEV"
20,2000,300,5,"happy","IEV"
12,1400,300,5,"happy","IEV"
11,1700,300,5,"happy","IEV"
7,1800,300,5,"happy","IEV"
3,1200,300,5,"happy","IEV"
5,1900,300,5,"happy","IEV"
13,1900,300,5,"happy","IEV"
8,2000,300,5,"happy","IEV"
4,1000,300,5,"happy","IEV"
15,1500,300,5,"happy","IEV"
6,1300,300,5,"happy","IEV"
2,2000,300,5,"happy","IEV"
16,1900,300,6,"fear","DEV"
21,1600,300,6,"fear","DEV"
14,1800,300,6,"fear","DEV"
4,1800,300,6,"fear","DEV"
15,1300,300,6,"fear","DEV"
10,2000,300,6,"fear","DEV"
12,1100,300,6,"fear","DEV"
19,1400,300,6,"fear","DEV"
1,1400,300,6,"fear","DEV"
8,1500,300,6,"fear","DEV"
3,2000,300,6,"fear","DEV"
5,1400,300,6,"fear","DEV"
20,1400,300,6,"fear","DEV"
18,2000,300,6,"fear","DEV"
9,1000,300,6,"fear","DEV"
7,1200,300,6,"fear","DEV"
17,1800,300,6,"fear","DEV"
6,1200,300,6,"fear","DEV"
11,1500,300,6,"fear","DEV"
13,1400,300,6,"fear","DEV"
2,1600,300,6,"fear","DEV"
2,1900,300,6,"fear","DEV"
17,1900,300,6,"fear","DEV"
19,1300,300,6,"fear","DEV"
10,1200,300,6,"fear","DEV"
18,2000,300,6,"fear","DEV"
4,1800,300,6,"fear","DEV"
11,1800,300,6,"fear","DEV"
14,1600,300,6,"fear","DEV"
6,1300,300,6,"fear","DEV"
21,1100,300,6,"fear","DEV"
8,1300,300,6,"fear","DEV"
9,1600,300,6,"fear","DEV"
13,1200,300,6,"fear","DEV"
3,1200,300,6,"fear","DEV"
12,1100,300,6,"fear","DEV"
16,1300,300,6,"fear","DEV"
1,1400,300,6,"fear","DEV"
15,1300,300,6,"fear","DEV"
5,1200,300,6,"fear","DEV"
20,1200,300,6,"fear","DEV"
7,2000,300,6,"fear","DEV"
