facenum,block,emotion,reward
6,5,happy,CEV
11,5,happy,CEV
9,5,happy,CEV
13,5,happy,CEV
14,5,happy,CEV
16,5,happy,CEV
15,5,happy,CEV
24,5,happy,CEV
1,5,happy,CEV
8,5,happy,CEV
21,5,happy,CEV
25,5,happy,CEV
12,5,happy,CEV
17,5,happy,CEV
19,5,happy,CEV
22,5,happy,CEV
4,5,happy,CEV
2,5,happy,CEV
7,5,happy,CEV
20,5,happy,CEV
18,5,happy,CEV
5,5,happy,CEV
8,5,happy,CEV
12,5,happy,CEV
22,5,happy,CEV
7,5,happy,CEV
5,5,happy,CEV
25,5,happy,CEV
17,5,happy,CEV
2,5,happy,CEV
1,5,happy,CEV
9,5,happy,CEV
14,5,happy,CEV
15,5,happy,CEV
11,5,happy,CEV
6,5,happy,CEV
3,5,happy,CEV
4,5,happy,CEV
19,5,happy,CEV
13,5,happy,CEV
10,5,happy,CEV
23,5,happy,CEV
20,5,happy,CEV
21,5,happy,CEV
18,5,happy,CEV
24,5,happy,CEV
16,5,happy,CEV
19,6,scram,CEVR
23,6,scram,CEVR
18,6,scram,CEVR
4,6,scram,CEVR
21,6,scram,CEVR
10,6,scram,CEVR
25,6,scram,CEVR
11,6,scram,CEVR
2,6,scram,CEVR
12,6,scram,CEVR
6,6,scram,CEVR
16,6,scram,CEVR
3,6,scram,CEVR
8,6,scram,CEVR
20,6,scram,CEVR
7,6,scram,CEVR
22,6,scram,CEVR
9,6,scram,CEVR
14,6,scram,CEVR
17,6,scram,CEVR
24,6,scram,CEVR
15,6,scram,CEVR
13,6,scram,CEVR
1,6,scram,CEVR
5,6,scram,CEVR
9,6,scram,CEVR
4,6,scram,CEVR
19,6,scram,CEVR
25,6,scram,CEVR
12,6,scram,CEVR
5,6,scram,CEVR
7,6,scram,CEVR
24,6,scram,CEVR
22,6,scram,CEVR
16,6,scram,CEVR
8,6,scram,CEVR
3,6,scram,CEVR
17,6,scram,CEVR
14,6,scram,CEVR
10,6,scram,CEVR
20,6,scram,CEVR
6,6,scram,CEVR
18,6,scram,CEVR
23,6,scram,CEVR
2,6,scram,CEVR
11,6,scram,CEVR
1,6,scram,CEVR
15,6,scram,CEVR
13,6,scram,CEVR
21,6,scram,CEVR
20,7,fear,CEV
7,7,fear,CEV
5,7,fear,CEV
23,7,fear,CEV
14,7,fear,CEV
22,7,fear,CEV
15,7,fear,CEV
9,7,fear,CEV
6,7,fear,CEV
18,7,fear,CEV
17,7,fear,CEV
1,7,fear,CEV
21,7,fear,CEV
25,7,fear,CEV
24,7,fear,CEV
13,7,fear,CEV
8,7,fear,CEV
19,7,fear,CEV
2,7,fear,CEV
11,7,fear,CEV
10,7,fear,CEV
12,7,fear,CEV
3,7,fear,CEV
4,7,fear,CEV
16,7,fear,CEV
16,7,fear,CEV
23,7,fear,CEV
9,7,fear,CEV
15,7,fear,CEV
18,7,fear,CEV
22,7,fear,CEV
11,7,fear,CEV
1,7,fear,CEV
12,7,fear,CEV
8,7,fear,CEV
10,7,fear,CEV
19,7,fear,CEV
6,7,fear,CEV
20,7,fear,CEV
7,7,fear,CEV
17,7,fear,CEV
21,7,fear,CEV
14,7,fear,CEV
24,7,fear,CEV
13,7,fear,CEV
25,7,fear,CEV
4,7,fear,CEV
2,7,fear,CEV
3,7,fear,CEV
5,7,fear,CEV
17,8,happy,IEV
5,8,happy,IEV
19,8,happy,IEV
18,8,happy,IEV
11,8,happy,IEV
13,8,happy,IEV
15,8,happy,IEV
23,8,happy,IEV
16,8,happy,IEV
3,8,happy,IEV
8,8,happy,IEV
14,8,happy,IEV
10,8,happy,IEV
6,8,happy,IEV
2,8,happy,IEV
25,8,happy,IEV
24,8,happy,IEV
22,8,happy,IEV
4,8,happy,IEV
7,8,happy,IEV
1,8,happy,IEV
21,8,happy,IEV
9,8,happy,IEV
20,8,happy,IEV
12,8,happy,IEV
10,8,happy,IEV
6,8,happy,IEV
17,8,happy,IEV
13,8,happy,IEV
4,8,happy,IEV
25,8,happy,IEV
22,8,happy,IEV
19,8,happy,IEV
2,8,happy,IEV
15,8,happy,IEV
8,8,happy,IEV
18,8,happy,IEV
21,8,happy,IEV
5,8,happy,IEV
9,8,happy,IEV
14,8,happy,IEV
1,8,happy,IEV
16,8,happy,IEV
24,8,happy,IEV
20,8,happy,IEV
3,8,happy,IEV
12,8,happy,IEV
7,8,happy,IEV
23,8,happy,IEV
11,8,happy,IEV
